context	corpus	speaker	word	onbin	age	gender	speech_style	location	f_word	f_pos	traditional	neutralized
.なんかみんな自立してる。.	KSJ	KSJ001	してる	X	3	F	0.56	nonadj	.	pause	X	X
、みんな人のことめっちゃ受け入れるなあって	KSJ	KSJ001	受け入れる	X	3	F	0.56	adj	な	sfp	O	X
まあそうじゃない子もいるけどね	KSJ	KSJ001	いる	X	3	F	0.56	adj	けど	dis	X	X
活動みたいなんしてるか、	KSJ	KSJ001	してる	X	3	F	0.56	nonadj	か	sfp	X	X
ゆっくりした生活してると思う	KSJ	KSJ001	してる	X	3	F	0.56	nonadj	と	case	X	X
でサークル多分いまやってるもんな	KSJ	KSJ001	やってる	X	3	F	0.56	nonadj	もん	sfp	X	X
ぐらいな、ボリボリ入ってるかな	KSJ	KSJ001	入ってる	X	3	F	0.56	nonadj	か	sfp	X	X
。.なんか、別に英語しゃべれるように	KSJ	KSJ001	しゃべれる	X	3	F	0.56	adj	よう	noun	X	X
たらそれなりに解釈してくれると思う	KSJ	KSJ001	してくれる	X	3	F	0.56	nonadj	と	case	X	X
がまず強化されてるなんて何	KSJ	KSJ001	れてる	X	3	F	0.56	nonadj	なんて	other.gramm	O	X
、関学に三田キャンパスがある、存在	KSJ	KSJ001	ある	X	3	F	0.56	adj	.	pause	X	X
することすら	KSJ	KSJ001	する	X	3	F	0.56	adj	こと	noun	X	X
姉さんとかお兄さんもめっちゃ喋るし普通	KSJ	KSJ001	喋る	X	3	F	0.56	adj	し	other.gramm	X	X
....覚えてる覚えて	KSJ	KSJ001	覚えてる	X	3	F	0.56	nonadj	覚え	other.lexical	X	X
る。.	KSJ	KSJ001	覚えてる	X	3	F	0.56	nonadj	.	pause	X	X
うち図書館の兄さんとご飯食べるもん多分	KSJ	KSJ001	食べる	X	3	F	0.56	adj	もん	sfp	X	X
そうそう。.なにしてんのって	KSJ	KSJ001	してん	O	3	F	0.56	nonadj	の	nom	O	X
いっつも声かけてくる。.	KSJ	KSJ001	かけてくる	X	3	F	0.56	nonadj	.	pause	X	X
しようっていっつも言ってる。.	KSJ	KSJ001	言ってる	X	3	F	0.56	nonadj	.	pause	X	X
やって図書館の人と喋るなんてありえ	KSJ	KSJ001	喋る	X	3	F	0.56	adj	なんて	other.gramm	O	X
し、みんないろんなとこがあるからいろんな	KSJ	KSJ001	ある	X	3	F	0.56	adj	から	other.gramm	X	X
、それがめちゃこんでる食堂の	KSJ	KSJ001	こんでる	X	3	F	0.56	nonadj	食堂	noun	X	X
の中にデレキ入ってくるからな	KSJ	KSJ001	入ってくる	X	3	F	0.56	nonadj	から	other.gramm	X	X
.みんな普通に喋ってる。.	KSJ	KSJ001	喋ってる	X	3	F	0.56	nonadj	.	pause	X	X
まあうちはケントって呼んでんけどな	KSJ	KSJ001	呼んでん	O	3	F	0.56	nonadj	けど	dis	X	X
を右に曲がり、直進すると、	KSJ	KSJ001	する	X	3	F	0.56	adj	と	other.gramm	X	X
目の十字路を右に曲がるやから	KSJ	KSJ001	曲がる	X	3	F	0.56	adj	や	sfp	X	X
.えガチでやってるん。	KSJ	KSJ001	やってる	X	3	F	0.56	nonadj	ん	nom	O	O
.....それで信じるあたりが	KSJ	KSJ001	信じる	X	3	F	0.56	adj	あたり	noun	X	X
呑んだ。.入ってるかな	KSJ	KSJ001	入ってる	X	3	F	0.56	nonadj	か	sfp	X	X
１月か。.小２になる前。	KSJ	KSJ001	なる	X	3	F	0.56	adj	前	other.lexical	X	X
むしろ今ストリートダンスやってる方から	KSJ	KSJ001	やってる	X	3	F	0.56	nonadj	方	noun	X	X
だってあそこに全体重乗ってんねんで	KSJ	KSJ001	乗ってん	O	3	F	0.56	nonadj	ねん	dis	O	X
.....今に至る。.	KSJ	KSJ001	至る	X	3	F	0.56	adj	.	pause	X	X
早い。.人生振り返ると結構	KSJ	KSJ001	振り返る	X	3	F	0.56	adj	と	other.gramm	X	X
.....絶対ある。.	KSJ	KSJ001	ある	X	3	F	0.56	adj	.	pause	X	X
...センス、才能あるな。	KSJ	KSJ001	ある	X	3	F	0.56	adj	な	sfp	O	X
たかったら莫大な金がかかる。.	KSJ	KSJ001	かかる	X	3	F	0.56	adj	.	pause	X	X
そうそう。.みんな留学するし、	KSJ	KSJ001	する	X	3	F	0.56	adj	し	other.gramm	X	X
たら二、三十万するから一	KSJ	KSJ001	する	X	3	F	0.56	adj	から	other.gramm	X	X
回の舞台でつぶれたりするから、	KSJ	KSJ001	する	X	3	F	0.56	adj	から	other.gramm	X	X
たら今でも、全然続けれるし。	KSJ	KSJ001	れる	X	3	F	0.56	adj	し	other.gramm	X	X
やっぱお金ないと、お金あるか、	KSJ	KSJ001	ある	X	3	F	0.56	adj	か	sfp	X	X
.安室ちゃん苦労してるよね	KSJ	KSJ001	してる	X	3	F	0.56	nonadj	よ	sfp	X	X
はね、たしなむ程度に弾けるように	KSJ	KSJ001	弾ける	X	3	F	0.56	adj	よう	noun	X	X
の違う棟に住んでる人とか	KSJ	KSJ001	住んでる	X	3	F	0.56	nonadj	人	noun	X	X
、走って一分とかで行けるとこやっ	KSJ	KSJ001	行ける	X	3	F	0.56	adj	とこ	noun	X	X
.新聞に載ったことあんねん。	KSJ	KSJ001	ある	O	3	F	0.56	adj	ねん	sfp	O	X
.あ今ダンス習ってるけど。	KSJ	KSJ001	習ってる	X	3	F	0.56	nonadj	けど	dis	X	X
については。.でももし習えるなら何	KSJ	KSJ001	習える	X	3	F	0.56	adj	なら	other.gramm	O	X
の方ね。.本当に登るん嫌	KSJ	KSJ001	登る	X	3	F	0.56	adj	ん	nom	O	O
。.頭使いながら壁登んの。	KSJ	KSJ001	登る	O	3	F	0.56	adj	の	nom	O	X
手芸とか料理は今でもするしな	KSJ	KSJ001	する	X	3	F	0.56	adj	し	other.gramm	X	X
ても見たいもんってあるやん。	KSJ	KSJ001	ある	X	3	F	0.56	adj	やん	dis	X	X
難いけど、ぱって出てくるのは	KSJ	KSJ001	出てくる	X	3	F	0.56	nonadj	の	nom	O	X
...やっぱ生きてるんだ	KSJ	KSJ001	生きてる	X	3	F	0.56	nonadj	ん	dis	O	O
......入る勇気は	KSJ	KSJ001	入る	X	3	F	0.56	adj	勇気	noun	X	X
わりと本とか読んでると出	KSJ	KSJ001	読んでる	X	3	F	0.56	nonadj	と	other.gramm	X	X
てくる場所とか	KSJ	KSJ001	出てくる	X	3	F	0.56	nonadj	場所	noun	X	X
がいっぱいあるからそれ	KSJ	KSJ001	ある	X	3	F	0.56	adj	から	other.gramm	X	X
中からじいさんが消えてる。.	KSJ	KSJ001	消えてる	X	3	F	0.56	nonadj	.	pause	X	X
らとなその旦那になる人の	KSJ	KSJ001	なる	X	3	F	0.56	adj	人	noun	X	X
したいって思う人が現れることが	KSJ	KSJ001	現れる	X	3	F	0.56	adj	こと	noun	X	X
